batch_size,learning_rate,epochs_config,epoch,train_loss,val_loss
16,5e-05,2,1,0.68957245,0.6914655
16,5e-05,2,2,0.7019224,0.6897708
16,5e-05,2,3,0.71892756,0.69211227
16,5e-05,2,4,0.71770555,0.6919783
16,5e-05,2,5,0.71335137,0.6912548
16,5e-05,2,6,0.6893829,0.6912278
16,5e-05,3,1,0.7661932,0.6960276
16,5e-05,3,2,0.709164,0.69514
16,5e-05,3,3,0.69882774,0.70235807
16,5e-05,3,4,0.7085179,0.6985779
16,5e-05,3,5,0.70480233,0.7004456
16,5e-05,3,6,0.7736839,0.69292605
16,5e-05,3,7,0.74985504,0.6818268
16,5e-05,3,8,0.72763824,0.6770378
16,5e-05,3,9,0.7187386,0.6781296
16,5e-05,3,10,0.7110067,0.6764318
16,5e-05,3,11,0.7100577,0.67884606
16,5e-05,3,12,0.7151942,0.68093824
16,5e-05,3,13,0.7137637,0.6803621
16,5e-05,3,14,0.6724227,0.6814068
16,5e-05,4,1,0.7074448,0.6920058
16,5e-05,4,2,0.6513345,0.68526924
16,5e-05,4,3,0.6824422,0.69337785
16,5e-05,4,4,0.6738146,0.69720095
16,5e-05,4,5,0.65144444,0.71157265
16,5e-05,4,6,0.7007204,0.703022
16,5e-05,4,7,0.60912657,0.69338006
16,5e-05,4,8,0.6494884,0.68559414
16,3e-05,2,1,0.7365803,0.72723436
16,3e-05,2,2,0.72917306,0.71905524
16,3e-05,2,3,0.69828343,0.70766014
16,3e-05,2,4,0.70372313,0.7031217
16,3e-05,2,5,0.7033335,0.69763273
16,3e-05,2,6,0.6939276,0.6906677
16,3e-05,2,7,0.69368947,0.69983613
16,3e-05,2,8,0.6866272,0.7146521
16,3e-05,2,9,0.671173,0.7184233
16,3e-05,2,10,0.62488043,0.7233847
16,3e-05,3,1,0.7153194,0.7092949
16,3e-05,3,2,0.74716896,0.70195204
16,3e-05,3,3,0.75084466,0.6973244
16,3e-05,3,4,0.7480019,0.69399977
16,3e-05,3,5,0.72967386,0.6931519
16,3e-05,3,6,0.7219131,0.69230163
16,3e-05,3,7,0.722602,0.69253725
16,3e-05,3,8,0.71967924,0.694264
16,3e-05,3,9,0.7200915,0.69620997
16,3e-05,3,10,0.71155185,0.695661
16,3e-05,3,11,0.6307362,0.69523275
16,3e-05,4,1,0.71387553,0.69281167
16,3e-05,4,2,0.71997786,0.69715434
16,3e-05,4,3,0.7151756,0.70357555
16,3e-05,4,4,0.7372509,0.70267636
16,3e-05,4,5,0.71530086,0.70369244
16,3e-05,4,6,0.8047005,0.7001027
16,3e-05,4,7,0.7242824,0.69829494
16,2e-05,2,1,0.6847175,0.7012796
16,2e-05,2,2,0.6924393,0.70087826
16,2e-05,2,3,0.69946223,0.70034313
16,2e-05,2,4,0.69982076,0.7004961
16,2e-05,2,5,0.6992949,0.7036359
16,2e-05,2,6,0.7059558,0.7045385
16,2e-05,2,7,0.7141506,0.7034424
16,2e-05,3,1,0.65565,0.6862564
16,2e-05,3,2,0.68540287,0.6875066
16,2e-05,3,3,0.68739766,0.6877488
16,2e-05,3,4,0.6930808,0.6874417
16,2e-05,3,5,0.6864282,0.6904822
16,2e-05,3,6,0.67836225,0.6914621
16,2e-05,4,1,0.6476619,0.68542105
16,2e-05,4,2,0.69506955,0.68427336
16,2e-05,4,3,0.70181465,0.6815039
16,2e-05,4,4,0.7063054,0.6811082
16,2e-05,4,5,0.71236277,0.6803083
16,2e-05,4,6,0.71648264,0.67968845
16,2e-05,4,7,0.7123969,0.679484
16,2e-05,4,8,0.7033969,0.6775898
16,2e-05,4,9,0.698708,0.6755331
16,2e-05,4,10,0.69760484,0.67359847
16,2e-05,4,11,0.69487476,0.67337936
16,2e-05,4,12,0.6912575,0.67446643
16,2e-05,4,13,0.6920255,0.6755146
16,2e-05,4,14,0.69080955,0.6769067
16,2e-05,4,15,0.662242,0.67831546
16,2e-05,4,16,0.7054536,0.6802059
16,2e-05,4,17,0.69101596,0.68216985
32,5e-05,2,1,0.7735841,0.6929239
32,5e-05,2,2,0.71632266,0.6746724
32,5e-05,2,3,0.7125661,0.6830898
32,5e-05,2,4,0.7087749,0.68608433
32,5e-05,2,5,0.7041155,0.69009644
32,5e-05,2,6,0.69537747,0.6864088
32,5e-05,3,1,0.75539815,0.69333607
32,5e-05,3,2,0.73646396,0.6905487
32,5e-05,3,3,0.72802705,0.68990815
32,5e-05,3,4,0.72371715,0.69474113
32,5e-05,3,5,0.7186201,0.6941109
32,5e-05,3,6,0.7149131,0.690231
32,5e-05,3,7,0.6947688,0.6870476
32,5e-05,3,8,0.69621205,0.68202883
32,5e-05,3,9,0.69439155,0.68056643
32,5e-05,3,10,0.6976097,0.68124115
32,5e-05,3,11,0.692359,0.6806293
32,5e-05,3,12,0.6872625,0.67482024
32,5e-05,3,13,0.6809774,0.66828483
32,5e-05,3,14,0.6783391,0.66383475
32,5e-05,3,15,0.67523104,0.66108507
32,5e-05,3,16,0.6708207,0.65749204
32,5e-05,3,17,0.66254276,0.65476716
32,5e-05,3,18,0.6616047,0.6533057
32,5e-05,3,19,0.66336095,0.6496394
32,5e-05,3,20,0.6639305,0.6451742
32,5e-05,3,21,0.6697744,0.6434258
32,5e-05,3,22,0.6677782,0.64492625
32,5e-05,3,23,0.67015713,0.6555839
32,5e-05,3,24,0.6716821,0.6644435
32,5e-05,3,25,0.59299475,0.6654381
32,5e-05,4,1,0.660419,0.69272935
32,5e-05,4,2,0.6761763,0.6953743
32,5e-05,4,3,0.6759098,0.6946773
32,5e-05,4,4,0.6942813,0.6807696
32,5e-05,4,5,0.6983353,0.67801666
32,5e-05,4,6,0.6987469,0.6810927
32,5e-05,4,7,0.7005845,0.684423
32,5e-05,4,8,0.69501257,0.6868663
32,5e-05,4,9,0.7085814,0.68444306
32,5e-05,4,10,0.68493676,0.6795743
32,5e-05,4,11,0.67544705,0.6801939
32,3e-05,2,1,0.7380302,0.6974701
32,3e-05,2,2,0.7213936,0.69394344
32,3e-05,2,3,0.70820427,0.69484097
32,3e-05,2,4,0.7048764,0.69958824
32,3e-05,2,5,0.69820416,0.70307416
32,3e-05,2,6,0.693882,0.70272416
32,3e-05,3,1,0.7268152,0.6953265
32,3e-05,3,2,0.71898735,0.69362885
32,3e-05,3,3,0.703316,0.6958279
32,3e-05,3,4,0.698336,0.6940055
32,3e-05,3,5,0.7072368,0.69281334
